line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,Award,Bullet,Certification,Contact,Date,Degree,Heading,Interest,Location,Name,Organization,Skill,Summary,Title,Training,Unknown,Volunteer
13,2,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,7,0.0,7.7,0.0,10.5,23.1,30.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
698,104,4.1000000000000005,4.1000000000000005,4.9,2.7,2.5,12.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,9,10.0,0.0,1.5,3.0,20.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
476,66,6.6000000000000005,5.3,3.4000000000000004,2.5,1.3,17.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,69,2.6,9.1,5.3,1.9,1.3,16.900000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,42,7.8,0.0,3.0,3.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,56,11.700000000000001,11.700000000000001,5.1,1.0999999999999999,0.0,21.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,14.299999999999999,0.0,2.3,0.0,14.299999999999999,57.099999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
279,42,2.1,6.4,3.5999999999999996,1.7999999999999998,0.0,25.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,42,8.7,10.9,5.2,1.6,2.1999999999999997,26.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,47,11.3,7.5,5.0,2.7,0.0,15.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,15,11.1,5.6000000000000005,1.9,2.9000000000000004,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8,0.0,0.0,2.3,0.0,25.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
332,53,13.8,5.2,4.8,1.2,0.0,13.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,41,13.600000000000001,4.5,4.3,1.0999999999999999,0.0,9.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,19,0.0,0.0,4.8,4.0,0.0,33.300000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,49,8.6,6.9,5.5,3.3000000000000003,1.7000000000000002,10.299999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8,0.0,0.0,2.3,0.0,25.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
427,62,7.1,8.6,2.6,3.0,2.9000000000000004,32.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,24,7.3999999999999995,7.3999999999999995,3.9,1.9,0.0,3.6999999999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,33,5.0,2.5,2.7,3.1,0.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,59,15.6,4.7,4.1000000000000005,1.3,0.0,10.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,9,0.0,0.0,0.0,2.0,18.2,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
259,37,9.3,2.3,3.9,2.3,0.0,14.000000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,38,11.899999999999999,4.8,3.5000000000000004,1.5,2.4,19.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,41,8.9,6.7,3.9,1.6,0.0,4.3999999999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,63,14.499999999999998,2.9000000000000004,4.9,1.6,0.0,1.4000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,9,0.0,0.0,0.0,1.7999999999999998,18.2,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
405,67,9.700000000000001,4.2,4.3999999999999995,0.7000000000000001,0.0,26.400000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,34,8.3,13.900000000000002,4.1000000000000005,0.8999999999999999,0.0,5.6000000000000005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,23,15.4,0.0,3.6999999999999997,2.1999999999999997,0.0,19.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,80,11.5,8.0,4.6,1.7999999999999998,1.0999999999999999,14.899999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
