line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,verb_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,word_count_trans,adj_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2457309396155174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,15,6.2,0.0,5.6000000000000005,1.4,6.2,25.0,1.531531151659999,2.4899799195977463,2.3664319132398464,1.1832159566199232,1.0342196941293802,0.0,1.8370905500142276,5.0
5,2,0.0,0.0,20.0,0.0,0.0,66.7,1.174618943088019,0.0,4.47213595499958,0.0,0.0,0.0,0.0,8.167006795638168
36,4,0.0,50.0,0.0,0.0,0.0,0.0,1.4309690811052556,0.0,0.0,0.0,0.0,3.6840314986403864,0.0,0.0
15,1,0.0,100.0,0.0,6.7,0.0,0.0,1.31101942303975,0.0,0.0,2.588435821108957,1.2095044770593142,4.641588833612778,0.0,0.0
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0,1.3195079107728942,0.0,0.0,2.4899799195977463,1.2001600575667746,3.2172248249150837,0.0,0.0
66,10,9.1,0.0,3.0,3.0,9.1,0.0,1.520387861280808,3.0166206257996713,1.7320508075688772,1.7320508075688772,1.1161231740339044,0.0,2.087759478663449,0.0
18,3,0.0,0.0,0.0,0.0,0.0,66.7,1.335141362540313,0.0,0.0,0.0,0.0,0.0,0.0,8.167006795638168
89,16,11.8,5.9,4.5,1.1,0.0,0.0,1.5665310257218434,3.4351128074635335,2.1213203435596424,1.0488088481701516,1.009576582776887,1.8069688693211896,0.0,0.0
14,2,0.0,0.0,0.0,0.0,0.0,0.0,1.3020054543174677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,11,8.3,8.3,3.7,1.9,8.3,8.3,1.490182215342446,2.8809720581775866,1.9235384061671346,1.378404875209022,1.0662900584785258,2.024693852005457,2.024693852005457,2.8809720581775866
89,15,6.2,6.2,5.6000000000000005,1.1,0.0,12.5,1.5665310257218434,2.4899799195977463,2.3664319132398464,1.0488088481701516,1.009576582776887,1.8370905500142276,0.0,3.5355339059327378
96,12,7.1,7.1,2.1,2.1,0.0,0.0,1.578436529997654,2.6645825188948455,1.449137674618944,1.449137674618944,1.0770154403043632,1.9219973427746713,0.0,0.0
17,5,0.0,0.0,0.0,17.599999999999998,0.0,57.1,1.3275316748885193,0.0,0.0,4.195235392680606,1.3321442875051681,0.0,0.0,7.556454194925025
52,47,2.0,0.0,0.0,5.800000000000001,0.0,78.4,1.4845688180219065,1.4142135623730951,0.0,2.4083189157584592,1.1921826559427973,0.0,0.0,8.854377448471462
