line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage
9,1,0.0,0.0,0.0,0.0,0.0,0.0
71,15,6.2,0.0,5.6000000000000005,1.4,6.2,25.0
5,2,0.0,0.0,20.0,0.0,0.0,66.7
36,4,0.0,50.0,0.0,0.0,0.0,0.0
15,1,0.0,100.0,0.0,6.7,0.0,0.0
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0
66,10,9.1,0.0,3.0,3.0,9.1,0.0
18,3,0.0,0.0,0.0,0.0,0.0,66.7
89,16,11.8,5.9,4.5,1.1,0.0,0.0
14,2,0.0,0.0,0.0,0.0,0.0,0.0
54,11,8.3,8.3,3.7,1.9,8.3,8.3
89,15,6.2,6.2,5.6000000000000005,1.1,0.0,12.5
96,12,7.1,7.1,2.1,2.1,0.0,0.0
17,5,0.0,0.0,0.0,17.599999999999998,0.0,57.1
52,47,2.0,0.0,0.0,5.800000000000001,0.0,78.4
17,2,0.0,50.0,0.0,0.0,0.0,0.0
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0
16,2,0.0,33.300000000000004,0.0,6.2,0.0,0.0
28,7,0.0,0.0,3.6,7.1,0.0,66.7
271,49,8.6,6.9,5.5,3.3000000000000003,1.7000000000000002,10.3
84,14,18.8,6.2,2.4,2.4,0.0,18.8
10,1,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
73,10,0.0,0.0,1.4,5.5,14.3,42.9
4,2,0.0,0.0,0.0,0.0,0.0,50.0
97,15,6.7,13.3,4.1000000000000005,1.0,0.0,6.7
157,25,3.6,21.4,4.5,2.5,0.0,3.6
35,5,0.0,0.0,2.9000000000000004,5.7,0.0,42.9
38,5,20.0,0.0,0.0,0.0,20.0,20.0
44,4,0.0,0.0,0.0,2.3,0.0,100.0
8,2,50.0,0.0,0.0,0.0,0.0,0.0
14,2,0.0,50.0,0.0,0.0,0.0,0.0
299,53,3.2,3.2,5.0,3.3000000000000003,9.5,25.4
69,14,6.7,6.7,5.800000000000001,1.4,6.7,6.7
300,47,11.3,7.5,5.0,2.7,0.0,15.1
498,78,6.2,8.200000000000001,3.6,4.4,2.1,32.0
7,2,0.0,0.0,0.0,0.0,0.0,50.0
69,11,0.0,6.7,0.0,5.800000000000001,6.7,60.0
106,16,10.5,5.3,3.8,2.8000000000000003,0.0,26.3
19,2,0.0,0.0,0.0,0.0,0.0,100.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
50,44,2.0,0.0,0.0,10.0,12.2,67.30000000000001
6,1,100.0,0.0,0.0,0.0,0.0,0.0
90,12,7.1,21.4,3.3000000000000003,2.2,0.0,7.1
87,15,5.9,5.9,5.7,2.3,0.0,0.0
163,25,11.1,0.0,4.3,1.2,0.0,22.2
923,131,11.7,1.7999999999999998,2.3,4.2,1.7999999999999998,31.3
30,7,0.0,0.0,0.0,3.3000000000000003,25.0,62.5
10,1,0.0,0.0,0.0,0.0,0.0,0.0
18,2,0.0,0.0,0.0,0.0,0.0,100.0
9,2,0.0,0.0,0.0,11.1,0.0,66.7
59,10,8.3,8.3,6.800000000000001,3.4000000000000004,0.0,0.0
119,20,3.8,0.0,0.0,5.0,3.8,46.2
77,12,13.3,0.0,5.2,3.9,0.0,6.7
83,20,18.2,0.0,10.8,2.4,4.5,0.0
36,5,0.0,0.0,2.8000000000000003,2.8000000000000003,0.0,33.300000000000004
89,16,5.6000000000000005,16.7,5.6000000000000005,2.2,0.0,5.6000000000000005
16,3,0.0,0.0,0.0,0.0,0.0,66.7
79,13,35.7,0.0,5.1,1.3,0.0,7.1
92,15,20.0,6.7,5.4,0.0,0.0,0.0
50,9,0.0,0.0,4.0,0.0,22.2,33.300000000000004
20,3,0.0,0.0,0.0,5.0,25.0,25.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0
47,7,0.0,11.1,4.3,4.3,0.0,11.1
12,1,0.0,100.0,0.0,16.7,0.0,0.0
16,3,0.0,0.0,0.0,0.0,0.0,100.0
54,6,0.0,8.3,0.0,11.1,0.0,0.0
53,46,2.0,0.0,0.0,7.5,7.8,76.5
38,6,0.0,0.0,2.6,5.3,11.1,44.4
77,11,15.4,7.7,2.6,2.6,0.0,0.0
30,5,0.0,0.0,3.3000000000000003,6.7,0.0,57.1
40,5,0.0,40.0,2.5,0.0,0.0,0.0
83,15,12.5,0.0,3.6,1.2,6.2,43.8
58,8,0.0,8.3,0.0,5.2,16.7,41.7
20,4,0.0,0.0,0.0,5.0,40.0,40.0
18,4,0.0,0.0,0.0,11.1,0.0,66.7
45,7,0.0,12.5,4.4,2.2,0.0,0.0
82,9,10.0,10.0,2.4,2.4,0.0,10.0
13,4,0.0,0.0,0.0,0.0,0.0,100.0
38,6,0.0,16.7,5.3,2.6,0.0,16.7
28,4,0.0,0.0,3.6,3.6,0.0,60.0
252,42,8.7,10.9,5.2,1.6,2.2,26.1
40,5,14.3,14.3,0.0,5.0,0.0,14.3
17,2,0.0,0.0,0.0,0.0,0.0,50.0
50,1,0.0,33.300000000000004,0.0,18.0,0.0,0.0
48,9,0.0,0.0,2.1,8.3,0.0,53.8
58,9,0.0,9.1,1.7000000000000002,1.7000000000000002,18.2,45.5
36,6,0.0,0.0,0.0,2.8000000000000003,14.3,28.6
30,6,16.7,0.0,3.3000000000000003,0.0,16.7,50.0
17,2,0.0,0.0,0.0,0.0,0.0,50.0
36,4,0.0,0.0,0.0,0.0,0.0,75.0
18,2,0.0,50.0,0.0,0.0,0.0,0.0
147,25,0.0,0.0,0.0,14.3,0.0,56.8
79,13,0.0,17.599999999999998,3.8,5.1,0.0,5.9
271,40,14.6,6.2,3.7,4.1000000000000005,4.2,27.1
78,12,0.0,25.0,2.6,2.6,0.0,25.0
73,15,0.0,0.0,5.5,0.0,0.0,6.7
42,4,0.0,8.3,0.0,21.4,8.3,8.3
32,5,0.0,0.0,0.0,6.2,0.0,71.39999999999999
8,2,0.0,0.0,0.0,0.0,0.0,100.0
334,54,6.3,4.8,4.2,2.7,9.5,22.2
54,8,0.0,11.1,3.7,1.9,0.0,11.1
23,4,0.0,0.0,0.0,0.0,0.0,100.0
106,13,0.0,4.8,0.8999999999999999,8.5,0.0,28.6
13,2,0.0,0.0,0.0,23.1,25.0,0.0
28,5,0.0,0.0,0.0,0.0,0.0,100.0
