line_length,word_count,verb_percentage_trans,adj_percentage
9,1,0.0,0.0
71,15,1.8370905500142276,0.0
5,2,0.0,0.0
36,4,0.0,50.0
15,1,0.0,100.0
16,2,0.0,33.300000000000004
66,10,2.087759478663449,0.0
18,3,0.0,0.0
89,16,2.276638114962505,5.9
14,2,0.0,0.0
54,11,2.024693852005457,8.3
89,15,1.8370905500142276,6.2
96,12,1.9219973427746713,7.1
17,5,0.0,0.0
52,47,1.2599210498948732,0.0
17,2,0.0,50.0
16,2,0.0,33.300000000000004
16,2,0.0,33.300000000000004
28,7,0.0,0.0
271,49,2.0487996145182663,6.9
84,14,2.6590057904691733,6.2
10,1,0.0,0.0
9,1,0.0,0.0
73,10,0.0,0.0
4,2,0.0,0.0
97,15,1.885203631020986,13.3
157,25,1.5326188647871062,21.4
35,5,0.0,0.0
38,5,2.7144176165949063,0.0
44,4,0.0,0.0
8,2,3.6840314986403864,0.0
14,2,0.0,50.0
299,53,1.4736125994561546,3.2
69,14,1.885203631020986,6.7
300,47,2.24401702659183,7.5
498,78,1.8370905500142276,8.200000000000001
7,2,0.0,0.0
69,11,0.0,6.7
106,16,2.1897595699439445,5.3
19,2,0.0,0.0
9,1,0.0,0.0
50,44,1.2599210498948732,0.0
6,1,4.641588833612778,0.0
90,12,1.9219973427746713,21.4
87,15,1.8069688693211896,5.9
163,25,2.2306991044756197,0.0
923,131,2.2701886806493845,1.7999999999999998
30,7,0.0,0.0
10,1,0.0,0.0
18,2,0.0,0.0
9,2,0.0,0.0
59,10,2.024693852005457,8.3
119,20,1.5604907507078847,0.0
77,12,2.369284502156768,0.0
83,20,2.6304121142856256,0.0
36,5,0.0,0.0
89,16,1.7758080034852015,16.7
16,3,0.0,0.0
79,13,3.292729632312839,0.0
92,15,2.7144176165949063,6.7
50,9,0.0,0.0
20,3,0.0,0.0
9,1,0.0,0.0
47,7,0.0,11.1
12,1,0.0,100.0
16,3,0.0,0.0
54,6,0.0,8.3
53,46,1.2599210498948732,0.0
38,6,0.0,0.0
77,11,2.4879419347290765,7.7
30,5,0.0,0.0
40,5,0.0,40.0
83,15,2.320794416806389,0.0
58,8,0.0,8.3
20,4,0.0,0.0
18,4,0.0,0.0
45,7,0.0,12.5
82,9,2.154434690031884,10.0
13,4,0.0,0.0
38,6,0.0,16.7
28,4,0.0,0.0
252,42,2.0567101162059633,10.9
40,5,2.4272360429169444,14.3
17,2,0.0,0.0
50,1,0.0,33.300000000000004
48,9,0.0,0.0
58,9,0.0,9.1
36,6,0.0,0.0
30,6,2.5560665504814426,0.0
17,2,0.0,0.0
36,4,0.0,0.0
18,2,0.0,50.0
147,25,0.0,0.0
79,13,0.0,17.599999999999998
271,40,2.444092388845405,6.2
78,12,0.0,25.0
73,15,0.0,0.0
42,4,0.0,8.3
32,5,0.0,0.0
8,2,0.0,0.0
334,54,1.8469147504478334,4.8
54,8,0.0,11.1
23,4,0.0,0.0
106,13,0.0,4.8
13,2,0.0,0.0
28,5,0.0,0.0
42,2,0.0,0.0
12,2,0.0,0.0
8,2,0.0,0.0
91,16,1.8069688693211896,5.9
59,10,2.087759478663449,9.1
